VW_MEB
10kOhms_25degreeC
R_tolerance_1percent
3455K_25_85degreeC
B_tolerance_1percent

Bias_type	:	0
Vref[mV]	:	5000
R1[ohm]		:	8200
R2[ohm]		:	0

temp_degreeC	R_kOhm
-55	988.26522
-54	918.94741
-53	854.85570
-52	795.57288
-51	740.71656
-50	689.93622
-49	642.91039
-48	599.34421
-47	558.96711
-46	521.53075
-45	486.80712
-44	454.58679
-43	424.67737
-42	396.90203
-41	371.09820
-40	347.11639
-39	324.81907
-38	304.07966
-37	284.78165
-36	266.81773
-35	250.08906
-34	234.50453
-33	219.98018
-32	206.43856
-31	193.80822
-30	182.02324
-29	171.02276
-28	160.75056
-27	151.15471
-26	142.18722
-25	133.80374
-24	125.96323
-23	118.62772
-22	111.76210
-21	105.33383
-20	99.31278
-19	93.67107
-18	88.38280
-17	83.42401
-16	78.77246
-15	74.40750
-14	70.30999
-13	66.46213
-12	62.84742
-11	59.45051
-10	56.25714
-9	53.25404
-8	50.42887
-7	47.77017
-6	45.26725
-5	42.91017
-4	40.68966
-3	38.59709
-2	36.62442
-1	34.76415
0	33.00928
1	31.35329
2	29.79009
3	28.31399
4	26.91968
5	25.60219
6	24.35690
7	23.17947
8	22.06584
9	21.01222
10	20.01506
11	19.07105
12	18.17707
13	17.33020
14	16.52773
15	15.76708
16	15.04586
17	14.36183
18	13.71286
19	13.09698
20	12.51234
21	11.95717
22	11.42985
23	10.92883
24	10.45267
25	10.00000
26	9.56954
27	9.16009
28	8.77051
29	8.39973
30	8.04676
31	7.71064
32	7.39049
33	7.08546
34	6.79476
35	6.51764
36	6.25341
37	6.00139
38	5.76095
39	5.53152
40	5.31252
41	5.10343
42	4.90375
43	4.71302 
44	4.53077
45	4.35660
46	4.19010
47	4.03090
48	3.87865
49	3.73299
50	3.59362
51	3.46023
52	3.33253
53	3.21026
54	3.09315
55	2.98097
56	2.87347
57	2.77045
58	2.67169
59	2.57699
60	2.48617
61	2.39906
62	2.31547
63	2.23525
64	2.15825
65	2.08433
66	2.01334
67	1.94515
68	1.87965
69	1.81670
70	1.75621
71	1.69805
72	1.64214
73	1.58837
74	1.53665
75	1.48689
76	1.43901
77	1.39293
78	1.34857
79	1.30586
80	1.26473
81	1.22512
82	1.18695
83	1.15018
84	1.11474
85	1.08058
86	1.04765
87	1.01590
88	0.98527
89	0.95573
90	0.92723
91	0.89973
92	0.87318
93	0.84756
94	0.82283
95	0.79894
96	0.77588
97	0.75359
98	0.73207
99	0.71127
100	0.69116
101	0.67173
102	0.65295
103	0.63478
104	0.61722
105	0.60023
106	0.58379
107	0.56789
108	0.55250
109	0.53761
110	0.52320
111	0.50924
112	0.49573
113	0.48264
114	0.46996
115	0.45768
116	0.44579
117	0.43426
118	0.42309
119	0.41226
120	0.40176
121	0.39158
122	0.38171
123	0.37214
124	0.36285
125	0.35385
126	0.34511
127	0.33662
128	0.32839
129	0.32040
130	0.31265
131	0.30512
132	0.29780
133	0.29070
134	0.28381
135	0.27710
136	0.27059
137	0.26427
138	0.25812
139	0.25215
140	0.24634
141	0.24069
142	0.23520
143	0.22986
144	0.22467
145	0.21962
146	0.21471
147	0.20993
9999
