TC310F34FBPEP
10kOhms_25degreeC
R_tolerance_1percent
3435K_25_85degreeC
B_tolerance_1percent

Bias_type	:	0
Vref[mV]	:	5000
R1[ohm]		:	8200
R2[ohm]		:	0

temp_degreeC	R_kOhm
-40	204.5
-39	193.2
-38	182.6
-37	172.6
-36	163.3
-35	154.5
-34	146.2
-33	138.4
-32	131.1
-31	124.2
-30	117.8
-29	111.7
-28	105.9
-27	100.5
-26	95.43
-25	90.62
-24	86.09
-23	81.81
-22	77.77
-21	73.95
-20	70.34
-19	66.94
-18	63.71
-17	60.67
-16	57.78
-15	55.06
-14	52.47
-13	50.03
-12	47.71
-11	45.51
-10	43.43
-9	41.46
-8	39.58
-7	37.81
-6	36.12
-5	34.52
-4	33.00
-3	31.55
-2	30.18
-1	28.87
0	27.63
1	26.45
2	25.33
3	24.26
4	23.24
5	22.27
6	21.35
7	20.47
8	19.63
9	18.83
10	18.07
11	17.34
12	16.65
13	15.98
14	15.35
15	14.75
16	14.17
17	13.62
18	13.09
19	12.59
20	12.11
21	11.65
22	11.21
23	10.79
24	10.39
25	10.00
26	9.631
27	9.277
28	8.939
29	8.614
30	8.303
31	8.005
32	7.719
33	7.445
34	7.182
35	6.930
36	6.688
37	6.456
38	6.233
39	6.019
40	5.813
41	5.616
42	5.426
43	5.243
44	5.068
45	4.900
46	4.738
47	4.582
48	4.432
49	4.287
50	4.149
51	4.015
52	3.886
53	3.763
54	3.643
55	3.528
56	3.418
57	3.311
58	3.208
59	3.109
60	3.013
61	2.921
62	2.832
63	2.747
64	2.664
65	2.584
66	2.507
67	2.433
68	2.361
69	2.292
70	2.225
71	2.160
72	2.098
73	2.037
74	1.979
75	1.923
76	1.868
77	1.815
78	1.764
79	1.715
80	1.668
81	1.621
82	1.577
83	1.534
84	1.492
85	1.451
86	1.412
87	1.374
88	1.337
89	1.302
90	1.267
91	1.234
92	1.202
93	1.170
94	1.140
95	1.110
96	1.082
97	1.054
98	1.027
99	1.001
100	0.976
101	0.951
102	0.928
103	0.905
104	0.882
105	0.860
106	0.839
107	0.819
108	0.799
109	0.779
110	0.761
111	0.742
112	0.725
113	0.707
114	0.691
115	0.674
116	0.659
117	0.643
118	0.628
119	0.614
120	0.600
121	0.586
122	0.572
123	0.559
124	0.547
125	0.534
9999
