EV2020_NEW_1degC_v
10kOhms_25degreeC
R_tolerance_1percent
3435K_25_85degreeC
B_tolerance_1percent

Bias_type	:	0
Vref[mV]	:	5000
R1[ohm]		:	8200
R2[ohm]		:	0

temp_degreeC	R_kOhm
-40	205.2232469
-39	193.8060773
-38	183.101095
-37	173.0593249
-36	163.635459
-35	154.7875603
-34	146.4767919
-33	138.6671703
-32	131.3253386
-31	124.42036
-30	117.9235283
-29	111.8081938
-28	106.0496047
-27	100.624761
-26	95.51228041
-25	90.69227563
-24	86.14950632
-23	81.85916829
-22	77.80969541
-21	73.9861191
-20	70.37448693
-19	66.96225281
-18	63.73667444
-17	60.6864489
-16	57.8010209
-15	55.07052923
-14	52.48575746
-13	50.03808831
-12	47.71946153
-11	45.52233495
-10	43.43964842
-9	41.46479048
-8	39.59156751
-7	37.81417514
-6	36.12717173
-5	34.52545386
-4	33.00423353
-3	31.5590171
-2	30.18558558
-1	28.87997656
0	27.63846722
1	26.45738015
2	25.33330602
3	24.26322977
4	23.24430821
5	22.27385961
6	21.3493539
7	20.46840352
8	19.62875488
9	18.8282803
10	18.06497054
11	17.33692772
12	16.64235876
13	15.97956917
14	15.34695726
15	14.74300871
16	14.16629148
17	13.61545101
18	13.08920572
19	12.58634284
20	12.10571443
21	11.64623365
22	11.20687131
23	10.78665257
24	10.38465386
25	10
26	9.631848591
27	9.279386321
28	8.941849195
29	8.61851496
30	8.308700595
31	8.01175995
32	7.727081554
33	7.454086556
34	7.192226801
35	6.940983035
36	6.699863214
37	6.468400933
38	6.246153943
39	6.032702771
40	5.827649418
41	5.630616145
42	5.441244329
43	5.25919339
44	5.084139792
45	4.915776089
46	4.753810043
47	4.597963791
48	4.447973058
49	4.303586421
50	4.164564616
51	4.030714426
52	3.901848191
53	3.77775187
54	3.658221836
55	3.543064307
56	3.432094819
57	3.325137731
58	3.222025751
59	3.122599497
60	3.026707079
61	2.934203708
62	2.844951327
63	2.75881826
64	2.675678884
65	2.595413321
66	2.517907141
67	2.44305109
68	2.370740824
69	2.300876669
70	2.23336338
71	2.168186195
72	2.105307271
73	2.044606074
74	1.985969814
75	1.92929292
76	1.874476559
77	1.821428184
78	1.770061106
79	1.720294108
80	1.672051071
81	1.625260639
82	1.579855893
83	1.535774058
84	1.492956224
85	1.451347087
86	1.410918665
87	1.371661214
88	1.33354921
89	1.296557005
90	1.260658898
91	1.225829193
92	1.19204226
93	1.159272583
94	1.127494808
95	1.096683779
96	1.066814581
97	1.037862569
98	1.009803398
99	0.982613045
100	0.956267838
101	0.930713739
102	0.90589897
103	0.881803794
104	0.858408843
105	0.835695123
106	0.813644023
107	0.792237314
108	0.771457156
109	0.751286094
110	0.731707063
111	0.712703385
112	0.694258769
113	0.676357307
114	0.658983472
115	0.642122118
116	0.625758469
117	0.60987812
118	0.594467032
119	0.579511526
120	0.564998276
121	0.550914307
122	0.537246984
123	0.523984014
124	0.51111343
125	0.498623592
126	0.486495965
127	0.474712041
128	0.463260775
129	0.452131512
130	0.441313981
131	0.430798275
132	0.420574836
133	0.410634444
134	0.400968203
135	0.39156753
136	0.38242414
137	0.373530035
138	0.364877496
139	0.356459069
140	0.348267558
141	0.340296013
142	0.332537719
143	0.324986194
144	0.317635172
145	0.3104786
146	0.30351063
147	0.296725608
148	0.290118071
149	0.283682738
150	0.277414501
9999
