HMNABEV
10kOhms_25degreeC
R_tolerance_1percent
3435K_25_85degreeC
B_tolerance_1percent

Bias_type	:	0
Vref[mV]	:	5000
R1[ohm]		:	8200
R2[ohm]		:	0

temp_degreeC	R_kOhm
-40	205.2
-39	193.8
-38	183.1
-37	173.1
-36	163.6
-35	154.8
-34	146.5
-33	138.7
-32	131.3
-31	124.4
-30	117.9
-29	111.8
-28	106
-27	100.6
-26	95.51
-25	90.69
-24	86.15
-23	81.86
-22	77.81
-21	73.99
-20	70.37
-19	66.96
-18	63.74
-17	60.69
-16	57.8
-15	55.07
-14	52.49
-13	50.04
-12	47.72
-11	45.52
-10	43.44
-9	41.46
-8	39.59
-7	37.81
-6	36.13
-5	34.53
-4	33
-3	31.56
-2	30.19
-1	28.88
0	27.64
1	26.46
2	25.33
3	24.26
4	23.24
5	22.27
6	21.35
7	20.47
8	19.63
9	18.83
10	18.06
11	17.34
12	16.64
13	15.98
14	15.35
15	14.74
16	14.17
17	13.62
18	13.09
19	12.59
20	12.11
21	11.65
22	11.21
23	10.79
24	10.38
25	10
26	9.632
27	9.279
28	8.942
29	8.619
30	8.309
31	8.012
32	7.727
33	7.454
34	7.192
35	6.941
36	6.7
37	6.468
38	6.246
39	6.033
40	5.828
41	5.631
42	5.441
43	5.259
44	5.084
45	4.916
46	4.754
47	4.598
48	4.448
49	4.304
50	4.165
51	4.031
52	3.902
53	3.778
54	3.658
55	3.543
56	3.432
57	3.325
58	3.222
59	3.123
60	3.027
61	2.934
62	2.845
63	2.759
64	2.676
65	2.595
66	2.518
67	2.443
68	2.371
69	2.301
70	2.233
71	2.168
72	2.105
73	2.045
74	1.986
75	1.929
76	1.874
77	1.821
78	1.77
79	1.72
80	1.672
81	1.625
82	1.58
83	1.536
84	1.493
85	1.451
86	1.411
87	1.372
88	1.334
89	1.297
90	1.261
91	1.226
92	1.192
93	1.159
94	1.127
95	1.097
96	1.067
97	1.038
98	1.01
99	0.9826
100	0.9563
101	0.9307
102	0.9059
103	0.8818
104	0.8584
105	0.8357
106	0.8136
107	0.7922
108	0.7715
109	0.7513
110	0.7317
111	0.7127
112	0.6943
113	0.6764
114	0.659
115	0.6421
116	0.6258
117	0.6099
118	0.5945
119	0.5795
120	0.565
121	0.5509
122	0.5372
123	0.524
124	0.5111
125	0.4986
126	0.4865
127	0.4747
128	0.4633
129	0.4521
130	0.4413
131	0.4308
132	0.4206
133	0.4106
134	0.401
135	0.3916
136	0.3824
137	0.3735
138	0.3649
139	0.3565
140	0.3483
141	0.3403
142	0.3325
143	0.325
144	0.3176
145	0.3105
146	0.3035
147	0.2967
148	0.2901
149	0.2837
150	0.2774
9999
