103AT
10kOhms_25degreeC
R_tolerance_1percent
3435K_25_85degreeC
B_tolerance_1percent

Bias_type	:	0
Vref[mV]	:	5000
R1[ohm]		:	8200
R2[ohm]		:	0

temp_degreeC	R_kOhm
-50	329.5
-49	310.9
-48	293.5
-47	277.2
-46	262.0
-45	247.7
-44	234.3
-43	221.7
-42	209.9
-41	198.9
-40	188.5
-39	178.5
-38	169.0
-37	160.2
-36	151.9
-35	144.1
-34	136.7
-33	129.8
-32	123.3
-31	117.1
-30	111.3
-29	105.7
-28	100.5
-27	95.52
-26	90.84
-25	86.43
-24	82.26
-23	78.33
-22	74.61
-21	71.10
-20	67.77
-19	64.57
-18	61.54
-17	58.68
-16	55.97
-15	53.41
-14	50.98
-13	48.68
-12	46.50
-11	44.43
-10	42.47
-9	40.57
-8	38.77
-7	37.06
-6	35.44
-5	33.90
-4	32.44
-3	31.05
-2	29.73
-1	28.48
0	27.28
1	26.13
2	25.03
3	23.99
4	23.00
5	22.05
6	21.15
7	20.30
8	19.48
9	18.70
10	17.96
11	17.24
12	16.56
13	15.90
14	15.28
15	14.69
16	14.12
17	13.58
18	13.06
19	12.56
20	12.09
21	11.63
22	11.20
23	10.78
24	10.38
25	10.00
26	9.632
27	9.281
28	8.944
29	8.622
30	8.313
31	8.014
32	7.728
33	7.454
34	7.192
35	6.940
36	6.699
37	6.467
38	6.245
39	6.032
40	5.827
41	5.629
42	5.438
43	5.255
44	5.080
45	4.911
46	4.749
47	4.593
48	4.443
49	4.299
50	4.160
51	4.026
52	3.896
53	3.771
54	3.651
55	3.536
56	3.425
57	3.318
58	3.215
59	3.116
60	3.020
61	2.927
62	2.838
63	2.751
64	2.668
65	2.588
66	2.511
67	2.436
68	2.364
69	2.295
70	2.228
71	2.163
72	2.100
73	2.039
74	1.980
75	1.924
76	1.869
77	1.816
78	1.765
79	1.716
80	1.668
81	1.622
82	1.577
83	1.533
84	1.492
85	1.451
86	1.412
87	1.373
88	1.336
89	1.301
90	1.266
91	1.232
92	1.200
93	1.168
94	1.137
95	1.108
96	1.079
97	1.051
98	1.024
99	0.9984
100	0.9731
101	0.9484
102	0.9246
103	0.9014
104	0.8789
105	0.8572
9999
