103JT_025
10kOhms_25degreeC
R_tolerance_1percent
3435K_25_85degreeC
B_tolerance_1percent

Bias_type	:	0
Vref[mV]	:	5000
R1[ohm]		:	8200
R2[ohm]		:	0

temp_degreeC	R_kOhm
-50	367.7
-49	346.0
-48	325.7
-47	306.8
-46	289.1
-45	272.6
-44	257.2
-43	242.7
-42	229.2
-41	216.6
-40	204.7
-39	193.4
-38	182.8
-37	172.9
-36	163.6
-35	154.9
-34	146.7
-33	139.0
-32	131.7
-31	124.9
-30	118.5
-29	112.4
-28	106.6
-27	101.2
-26	96.08
-25	91.27
-24	86.73
-23	82.46
-22	78.42
-21	74.62
-20	71.02
-19	67.53
-18	64.24
-17	61.13
-16	58.20
-15	55.43
-14	52.81
-13	50.33
-12	47.99
-11	45.77
-10	43.67
-9	41.66
-8	39.76
-7	37.96
-6	36.25
-5	34.63
-4	33.10
-3	31.64
-2	30.26
-1	28.95
0	27.70
1	26.51
2	25.37
3	24.29
4	23.27
5	22.29
6	21.36
7	20.48
8	19.64
9	18.83
10	18.07
11	17.34
12	16.64
13	15.98
14	15.34
15	14.74
16	14.16
17	13.61
18	13.09
19	12.59
20	12.11
21	11.65
22	11.21
23	10.79
24	10.38
25	10.00
26	9.630
27	9.275
28	8.936
29	8.611
30	8.301
31	8.001
32	7.715
33	7.440
34	7.177
35	6.925
36	6.683
37	6.451
38	6.229
39	6.016
40	5.811
41	5.613
42	5.422
43	5.240
44	5.064
45	4.896
46	4.734
47	4.579
48	4.429
49	4.285
50	4.147
51	4.013
52	3.884
53	3.760
54	3.640
55	3.525
56	3.415
57	3.308
58	3.205
59	3.106
60	3.011
61	2.919
62	2.830
63	2.744
64	2.662
65	2.582
66	2.505
67	2.431
68	2.360
69	2.291
70	2.224
71	2.160
72	2.097
73	2.037
74	1.979
75	1.922
76	1.868
77	1.815
78	1.765
79	1.716
80	1.668
81	1.622
82	1.577
83	1.534
84	1.492
85	1.451
86	1.412
87	1.374
88	1.337
89	1.301
90	1.267
9999
