KCG103F343F
10kOhms_25degreeC
R_tolerance_1percent
3435K_25_85degreeC
B_tolerance_1percent

Bias_type	:	0
Vref[mV]	:	5000
R1[ohm]		:	8200
R2[ohm]		:	0

temp_degreeC	R_kOhm
-40	201.7
-39	190.6
-38	180.3
-37	170.5
-36	161.4
-35	152.8
-34	144.7
-33	137.1
-32	129.9
-31	123.1
-30	116.8
-29	110.8
-28	105.2
-27	99.83
-26	94.81
-25	90.07
-24	85.59
-23	81.37
-22	77.37
-21	73.60
-20	70.03
-19	66.66
-18	63.47
-17	60.45
-16	57.60
-15	54.89
-14	52.33
-13	49.90
-12	47.60
-11	45.42
-10	43.35
-9	41.38
-8	39.52
-7	37.75
-6	36.07
-5	34.48
-4	32.96
-3	31.52
-2	30.16
-1	28.85
0	27.62
1	26.44
2	25.32
3	24.25
4	23.23
5	22.27
6	21.34
7	20.46
8	19.63
9	18.83
10	18.07
11	17.34
12	16.65
13	15.98
14	15.35
15	14.75
16	14.17
17	13.62
18	13.09
19	12.59
20	12.11
21	11.65
22	11.21
23	10.79
24	10.39
25	10.000
26	9.631
27	9.277
28	8.938
29	8.613
30	8.302
31	8.004
32	7.718
33	7.444
34	7.180
35	6.928
36	6.686
37	6.454
38	6.230
39	6.016
40	5.810
41	5.613
42	5.423
43	5.240
44	5.065
45	4.897
46	4.734
47	4.578
48	4.429
49	4.284
50	4.145
51	4.012
52	3.883
53	3.759
54	3.640
55	3.525
56	3.415
57	3.308
58	3.205
59	3.106
60	3.011
61	2.919
62	2.830
63	2.744
64	2.662
65	2.582
66	2.505
67	2.431
68	2.359
69	2.290
70	2.223
71	2.158
72	2.096
73	2.036
74	1.978
75	1.921
76	1.867
77	1.814
78	1.764
79	1.714
80	1.667
81	1.621
82	1.576
83	1.533
84	1.492
85	1.451
86	1.412
87	1.374
88	1.338
89	1.302
90	1.268
91	1.235
92	1.203
93	1.171
94	1.141
95	1.112
96	1.083
97	1.056
98	1.029
99	1.003
100	0.9777
101	0.9533
102	0.9296
103	0.9066
104	0.8843
105	0.8626
106	0.8416
107	0.8212
108	0.8014
109	0.7812
110	0.7634
111	0.7452
112	0.7276
113	0.7104
114	0.6938
115	0.6776
116	0.6619
117	0.6466
118	0.6317
119	0.6172
120	0.6032
9999
