NTCS0603E3103*HT
10kOhms_25degreeC
R_tolerance_1percent
3435K_25_85degreeC
B_tolerance_1percent

Bias_type	:	0
Vref[mV]	:	5000
R1[ohm]		:	8200
R2[ohm]		:	0

temp_degreeC	R_kOhm
-40	347.116
-35	250.089
-30	182.023
-25	133.804
-20	99.313
-15	74.408
-10	56.257
-5	42.91
0	33.009
5	25.602
10	20.015
15	15.767
20	12.512
25	10.00
30	8.0468
35	6.5176
40	5.3125
45	4.3566
50	3.5936
55	2.981
60	2.4862
65	2.0843
70	1.7562
75	1.4869
80	1.2647
85	1.0806
90	0.92723
95	0.79894
100	0.69116
105	0.60023
110	0.5232
115	0.45768
120	0.40176
125	0.35385
130	0.31265
135	0.2771
140	0.24634
145	0.21962
150	0.19635
9999
